epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,170.063,0.51246,0.73809,0.37658,0.99818,0.9996,1,0.995,0.91293,0.9996,1,0.995,0.92044,0.45757,0.48846,0.33346,0.93223,0.00153668,0.00153668,0.00153668
119,171.497,0.50266,0.77258,0.37482,0.99192,1,0.99684,0.995,0.9153,1,0.99684,0.995,0.91444,0.4459,0.5023,0.32443,0.93669,0.00153272,0.00153272,0.00153272
120,172.964,0.47795,0.76887,0.38405,0.98417,0.99106,0.9989,0.995,0.92482,0.99106,0.9989,0.995,0.92882,0.43005,0.48439,0.32388,0.91533,0.00152876,0.00152876,0.00152876
121,174.395,0.5346,0.72443,0.37957,1.00808,0.99937,1,0.995,0.9234,0.99937,1,0.995,0.92719,0.41906,0.48269,0.31557,0.90622,0.0015248,0.0015248,0.0015248
122,175.806,0.45835,0.69435,0.36292,0.96361,0.99913,1,0.995,0.9415,0.99913,1,0.995,0.93754,0.4003,0.474,0.3144,0.89993,0.00152084,0.00152084,0.00152084
123,177.242,0.49109,0.64362,0.35088,0.96604,0.99931,1,0.995,0.93335,0.99931,1,0.995,0.94272,0.41287,0.46938,0.31804,0.91487,0.00151688,0.00151688,0.00151688
124,178.751,0.50677,0.65588,0.37352,0.99881,0.99895,1,0.995,0.92403,0.99895,1,0.995,0.92785,0.39969,0.52754,0.32552,0.90199,0.00151292,0.00151292,0.00151292
125,180.168,0.46948,0.64828,0.3749,0.96672,0.99864,1,0.995,0.92142,0.99864,1,0.995,0.92132,0.39636,0.49536,0.33393,0.90845,0.00150896,0.00150896,0.00150896
126,181.607,0.47628,0.66866,0.37937,0.95897,0.99819,1,0.995,0.90899,0.99819,1,0.995,0.92479,0.43129,0.48978,0.405,0.91889,0.001505,0.001505,0.001505
127,183.028,0.48175,0.64957,0.37234,0.96231,0.99912,0.99099,0.995,0.9305,0.99912,0.99099,0.995,0.93333,0.4224,0.44601,0.4062,0.91783,0.00150104,0.00150104,0.00150104
128,184.468,0.55838,0.89421,0.41409,1.0046,0.99824,1,0.995,0.93137,0.99824,1,0.995,0.93173,0.39979,0.43872,0.31386,0.89718,0.00149708,0.00149708,0.00149708
129,185.892,0.49001,0.7598,0.37463,0.98819,0.99913,1,0.995,0.93546,0.99913,1,0.995,0.93978,0.39847,0.42626,0.33571,0.90003,0.00149312,0.00149312,0.00149312
130,187.328,0.46206,0.65727,0.35017,0.9517,0.99097,1,0.995,0.93672,0.99097,1,0.995,0.93709,0.39795,0.44897,0.36277,0.90205,0.00148916,0.00148916,0.00148916
131,188.783,0.47844,0.67863,0.37087,0.97942,0.98789,0.98198,0.99455,0.9329,0.98789,0.98198,0.99455,0.92596,0.43923,0.48483,0.34932,0.94213,0.0014852,0.0014852,0.0014852
132,190.252,0.50683,0.67318,0.37408,0.97196,0.9995,1,0.995,0.91453,0.9995,1,0.995,0.91806,0.48976,0.53827,0.35136,0.96626,0.00148124,0.00148124,0.00148124
133,191.67,0.50073,0.66683,0.36406,0.95795,0.9978,1,0.995,0.93774,0.9978,1,0.995,0.94476,0.41099,0.46069,0.31748,0.91277,0.00147728,0.00147728,0.00147728
134,193.115,0.46868,0.68213,0.36228,0.94075,0.99968,1,0.995,0.94264,0.99968,1,0.995,0.94727,0.39859,0.45638,0.29302,0.89512,0.00147332,0.00147332,0.00147332
135,194.562,0.47807,0.70843,0.35538,0.96792,1,0.99925,0.995,0.93547,1,0.99925,0.995,0.9443,0.40967,0.44419,0.31103,0.91596,0.00146936,0.00146936,0.00146936
136,195.995,0.48322,0.70157,0.36912,0.97472,0.99972,1,0.995,0.9323,0.99972,1,0.995,0.94102,0.43555,0.43748,0.3198,0.95806,0.0014654,0.0014654,0.0014654
137,197.462,0.49305,0.72367,0.36766,0.96506,0.96458,1,0.99347,0.89998,0.96458,1,0.99347,0.93265,0.4517,0.4625,0.33513,0.9695,0.00146144,0.00146144,0.00146144
138,198.894,0.47388,0.71126,0.37797,0.98349,1,0.99922,0.995,0.94128,1,0.99922,0.995,0.93957,0.39957,0.45293,0.31956,0.91624,0.00145748,0.00145748,0.00145748
139,200.364,0.48048,0.73719,0.39059,0.97061,0.99034,1,0.99429,0.92651,0.99034,1,0.99429,0.93594,0.42615,0.49258,0.32206,0.90696,0.00145352,0.00145352,0.00145352
140,201.796,0.51242,0.68504,0.37577,0.97704,0.98932,1,0.99473,0.92877,0.9804,0.99099,0.99288,0.90833,0.39108,0.6425,0.32712,0.89272,0.00144956,0.00144956,0.00144956
141,203.209,0.45228,0.72374,0.34735,0.92776,0.98129,1,0.9932,0.92689,0.98129,1,0.99295,0.9245,0.40437,0.47264,0.34737,0.90761,0.0014456,0.0014456,0.0014456
142,204.646,0.48183,0.61799,0.35193,0.95704,0.99863,1,0.995,0.926,0.99863,1,0.995,0.92361,0.43652,0.46689,0.35848,0.93492,0.00144164,0.00144164,0.00144164
143,206.064,0.46081,0.67359,0.35035,0.94691,0.99908,1,0.995,0.90222,0.99908,1,0.995,0.90745,0.52047,0.52798,0.37545,0.99901,0.00143768,0.00143768,0.00143768
144,207.511,0.48899,0.72578,0.3564,0.98689,0.98229,0.99926,0.99341,0.87381,0.98229,0.99926,0.99341,0.89454,0.58249,0.60302,0.46444,1.04153,0.00143372,0.00143372,0.00143372
145,208.929,0.50505,0.74183,0.34998,0.98598,0.99798,0.99099,0.995,0.90403,0.99798,0.99099,0.995,0.92123,0.47052,0.5313,0.39783,0.95326,0.00142976,0.00142976,0.00142976
146,210.35,0.45094,0.69497,0.34487,0.95713,1,0.99996,0.995,0.93721,1,0.99996,0.995,0.94451,0.40358,0.46133,0.29576,0.89348,0.0014258,0.0014258,0.0014258
147,211.82,0.43028,0.66167,0.31262,0.94921,1,0.99922,0.995,0.93136,1,0.99922,0.995,0.94098,0.38902,0.46316,0.29207,0.87816,0.00142184,0.00142184,0.00142184
148,213.24,0.41976,0.65477,0.3282,0.94797,0.99873,1,0.995,0.92712,0.99873,1,0.995,0.93211,0.39537,0.46131,0.30732,0.89014,0.00141788,0.00141788,0.00141788
149,214.654,0.41474,0.60265,0.31257,0.92991,1,0.99932,0.995,0.94599,1,0.99932,0.995,0.94055,0.37209,0.45142,0.28467,0.88253,0.00141392,0.00141392,0.00141392
150,216.068,0.44206,0.6354,0.32321,0.97456,1,0.99969,0.995,0.92702,1,0.99969,0.995,0.94429,0.41588,0.45369,0.31086,0.90233,0.00140996,0.00140996,0.00140996
151,217.495,0.4315,0.60895,0.32526,0.92472,0.99107,0.99952,0.995,0.91553,0.99107,0.99952,0.995,0.9377,0.42316,0.45251,0.3169,0.91768,0.001406,0.001406,0.001406
152,218.915,0.45967,0.63857,0.36171,0.97246,0.99928,0.99099,0.995,0.93354,0.99928,0.99099,0.995,0.93453,0.39097,0.46943,0.32964,0.90323,0.00140204,0.00140204,0.00140204
153,220.357,0.46295,0.67006,0.33493,0.95419,0.99907,0.99099,0.995,0.93293,0.99907,0.99099,0.995,0.92252,0.40466,0.50214,0.37712,0.91408,0.00139808,0.00139808,0.00139808
154,221.818,0.47023,0.63935,0.34494,0.97171,0.99032,1,0.99491,0.93662,0.99032,1,0.99491,0.91574,0.40119,0.52157,0.35113,0.90661,0.00139412,0.00139412,0.00139412
155,223.226,0.44236,0.61401,0.34001,0.94743,0.99085,1,0.995,0.94017,0.99085,1,0.995,0.94029,0.37421,0.44819,0.29627,0.89769,0.00139016,0.00139016,0.00139016
156,224.645,0.45432,0.66871,0.33189,0.94008,0.99068,1,0.995,0.93265,0.99068,1,0.995,0.94406,0.38102,0.43223,0.29352,0.89891,0.0013862,0.0013862,0.0013862
157,226.054,0.42131,0.62834,0.32429,0.93115,1,0.99986,0.995,0.9311,1,0.99986,0.995,0.94132,0.38494,0.43639,0.29491,0.89264,0.00138224,0.00138224,0.00138224
158,227.466,0.50682,0.77864,0.3626,0.98063,0.9991,1,0.995,0.92462,0.9991,1,0.995,0.9395,0.38948,0.43427,0.33364,0.88644,0.00137828,0.00137828,0.00137828
159,228.881,0.4461,0.66046,0.33012,0.95557,0.99917,1,0.995,0.94708,0.99917,1,0.995,0.94038,0.36559,0.43123,0.3653,0.88465,0.00137432,0.00137432,0.00137432
160,230.294,0.44626,0.65328,0.30959,0.95294,0.99927,1,0.995,0.94548,0.99927,1,0.995,0.92673,0.35522,0.45784,0.38706,0.87522,0.00137036,0.00137036,0.00137036
161,231.712,0.43026,0.70325,0.31949,0.93169,0.99929,1,0.995,0.9546,0.99929,1,0.995,0.92568,0.34853,0.51358,0.37479,0.86381,0.0013664,0.0013664,0.0013664
162,233.184,0.44863,0.65245,0.31398,0.95208,0.99874,1,0.995,0.94731,0.99874,1,0.995,0.91466,0.35614,0.59603,0.3474,0.8622,0.00136244,0.00136244,0.00136244
163,234.61,0.41006,0.59889,0.30978,0.96943,0.99506,1,0.995,0.95228,0.99506,1,0.995,0.92103,0.34123,0.5693,0.31083,0.85677,0.00135848,0.00135848,0.00135848
164,236.036,0.45436,0.70985,0.34336,0.95367,0.99913,1,0.995,0.9491,0.99913,1,0.995,0.94919,0.35098,0.44022,0.27522,0.85981,0.00135452,0.00135452,0.00135452
165,237.473,0.43382,0.66938,0.31903,0.94467,0.99158,1,0.995,0.95462,0.99158,1,0.995,0.9513,0.34038,0.41797,0.25659,0.8571,0.00135056,0.00135056,0.00135056
166,238.909,0.44372,0.67233,0.32189,0.95766,0.9994,1,0.995,0.95682,0.9994,1,0.995,0.94767,0.34165,0.43697,0.24966,0.8628,0.0013466,0.0013466,0.0013466
167,240.327,0.42746,0.63739,0.32193,0.94343,0.99942,1,0.995,0.94917,0.99942,1,0.995,0.95046,0.37424,0.4277,0.27577,0.88991,0.00134264,0.00134264,0.00134264
168,241.746,0.40911,0.5643,0.30125,0.92033,0.9994,1,0.995,0.9535,0.9994,1,0.995,0.95311,0.34558,0.39477,0.26351,0.86699,0.00133868,0.00133868,0.00133868
169,243.252,0.43647,0.62871,0.31396,0.92005,0.99127,1,0.995,0.95212,0.99127,1,0.995,0.95503,0.33813,0.3914,0.26143,0.85973,0.00133472,0.00133472,0.00133472
170,244.739,0.44644,0.65123,0.32763,0.95716,0.99339,1,0.995,0.96077,0.99339,1,0.995,0.95836,0.33753,0.4099,0.26769,0.85713,0.00133076,0.00133076,0.00133076
171,246.184,0.47124,0.67163,0.31917,0.94382,0.98987,1,0.995,0.95498,0.98987,1,0.995,0.94945,0.35212,0.43772,0.26126,0.85982,0.0013268,0.0013268,0.0013268
172,247.629,0.41269,0.6313,0.32098,0.93784,0.99425,1,0.995,0.94235,0.99425,1,0.995,0.94817,0.39571,0.44897,0.2824,0.89478,0.00132284,0.00132284,0.00132284
173,249.049,0.47753,0.69643,0.34373,0.96109,0.99651,1,0.995,0.93752,0.99651,1,0.995,0.94987,0.41429,0.42196,0.30296,0.90477,0.00131888,0.00131888,0.00131888
174,250.487,0.42505,0.55955,0.31138,0.94713,1,0.99007,0.995,0.94632,1,0.99007,0.995,0.94548,0.39507,0.41575,0.28173,0.89312,0.00131492,0.00131492,0.00131492
175,251.897,0.46127,0.61538,0.32333,0.9556,0.99745,1,0.995,0.93785,0.99745,1,0.995,0.94187,0.3724,0.39514,0.28981,0.87775,0.00131096,0.00131096,0.00131096
176,253.315,0.45829,0.66693,0.33415,0.97513,0.99686,1,0.995,0.93265,0.99686,1,0.995,0.94242,0.38455,0.41832,0.30499,0.88239,0.001307,0.001307,0.001307
177,254.808,0.44797,0.64826,0.33049,0.96621,0.99914,1,0.995,0.93143,0.99914,1,0.995,0.93533,0.41833,0.45546,0.31096,0.89667,0.00130304,0.00130304,0.00130304
178,256.266,0.47306,0.6539,0.33073,0.97149,0.9993,1,0.995,0.94928,0.9993,1,0.995,0.93809,0.37065,0.41696,0.2841,0.87097,0.00129908,0.00129908,0.00129908
179,257.707,0.45293,0.71575,0.35209,0.95708,0.99942,1,0.995,0.94611,0.99942,1,0.995,0.94276,0.37441,0.40582,0.27435,0.87815,0.00129512,0.00129512,0.00129512
180,259.119,0.45413,0.61508,0.32698,0.96827,0.99938,1,0.995,0.95054,0.99938,1,0.995,0.95138,0.38172,0.39716,0.27075,0.88511,0.00129116,0.00129116,0.00129116
181,260.524,0.42094,0.58793,0.31366,0.92962,0.99733,1,0.995,0.94228,0.99733,1,0.995,0.95494,0.3961,0.39833,0.27011,0.88941,0.0012872,0.0012872,0.0012872
182,261.94,0.44032,0.6112,0.31986,0.95165,0.99057,1,0.995,0.94709,0.99057,1,0.995,0.95551,0.37662,0.39359,0.26074,0.88919,0.00128324,0.00128324,0.00128324
183,263.394,0.45374,0.6326,0.32582,0.94534,0.99014,0.98198,0.99457,0.94665,0.99014,0.98198,0.99457,0.94363,0.38081,0.44966,0.29385,0.89334,0.00127928,0.00127928,0.00127928
184,264.827,0.43246,0.59199,0.31404,0.95217,0.99582,1,0.995,0.94155,0.99582,1,0.995,0.94417,0.41454,0.43337,0.29393,0.92029,0.00127532,0.00127532,0.00127532
185,266.296,0.43179,0.61005,0.31461,0.93366,0.99939,1,0.995,0.95258,0.99939,1,0.995,0.9563,0.37235,0.3935,0.2614,0.88234,0.00127136,0.00127136,0.00127136
186,267.753,0.41409,0.54188,0.29573,0.94568,0.99943,1,0.995,0.96368,0.99943,1,0.995,0.95515,0.3258,0.40863,0.24489,0.85046,0.0012674,0.0012674,0.0012674
187,269.165,0.42277,0.597,0.31861,0.95367,0.99945,1,0.995,0.95111,0.99945,1,0.995,0.95081,0.34343,0.42337,0.25731,0.85291,0.00126344,0.00126344,0.00126344
188,270.576,0.43658,0.6419,0.30503,0.93402,0.99918,1,0.995,0.9555,0.99918,1,0.995,0.95053,0.33502,0.40736,0.26664,0.84954,0.00125948,0.00125948,0.00125948
189,271.997,0.43837,0.64363,0.3175,0.94693,0.99941,1,0.995,0.96524,0.99941,1,0.995,0.95424,0.301,0.40594,0.24912,0.82185,0.00125552,0.00125552,0.00125552
190,273.44,0.43193,0.621,0.30681,0.94115,0.99942,1,0.995,0.96105,0.99942,1,0.995,0.95084,0.31479,0.41952,0.25252,0.8299,0.00125156,0.00125156,0.00125156
191,274.856,0.42205,0.66459,0.32928,0.94107,0.99942,1,0.995,0.95486,0.99942,1,0.995,0.95338,0.34705,0.39854,0.25814,0.84734,0.0012476,0.0012476,0.0012476
192,276.296,0.44026,0.64362,0.33271,0.95107,0.9994,1,0.995,0.95269,0.9994,1,0.995,0.94404,0.34017,0.39293,0.2565,0.84812,0.00124364,0.00124364,0.00124364
193,277.705,0.40199,0.53903,0.29406,0.91621,0.99938,1,0.995,0.96361,0.99938,1,0.995,0.94495,0.32611,0.39557,0.26116,0.8381,0.00123968,0.00123968,0.00123968
194,279.118,0.42766,0.61148,0.32611,0.94156,0.99945,1,0.995,0.95607,0.99945,1,0.995,0.95338,0.33659,0.389,0.27505,0.84455,0.00123572,0.00123572,0.00123572
195,280.532,0.43992,0.68516,0.32534,0.95412,1,0.99775,0.995,0.96689,1,0.99775,0.995,0.95717,0.3103,0.39118,0.26631,0.8371,0.00123176,0.00123176,0.00123176
196,281.966,0.40454,0.6212,0.30903,0.92428,0.99774,1,0.995,0.96315,0.99774,1,0.995,0.95639,0.3275,0.38551,0.27986,0.84901,0.0012278,0.0012278,0.0012278
197,283.385,0.38928,0.5547,0.30429,0.92831,0.99886,1,0.995,0.96014,0.99886,1,0.995,0.95712,0.3145,0.38531,0.28291,0.84031,0.00122384,0.00122384,0.00122384
198,284.792,0.40043,0.60236,0.30291,0.91916,0.99723,1,0.995,0.95572,0.99723,1,0.995,0.95316,0.30922,0.38178,0.2824,0.83819,0.00121988,0.00121988,0.00121988
199,286.199,0.40303,0.64399,0.31323,0.95631,0.99174,1,0.995,0.96819,0.99174,1,0.995,0.96523,0.29754,0.36146,0.25736,0.82961,0.00121592,0.00121592,0.00121592
200,287.719,0.40444,0.60597,0.28848,0.9242,0.99939,1,0.995,0.96651,0.99939,1,0.995,0.95681,0.29142,0.37253,0.24319,0.8224,0.00121196,0.00121196,0.00121196
201,289.127,0.40885,0.58724,0.28907,0.9483,0.99939,1,0.995,0.96756,0.99939,1,0.995,0.94873,0.31179,0.42527,0.23779,0.82872,0.001208,0.001208,0.001208
202,290.54,0.39358,0.66221,0.29704,0.91058,0.99937,1,0.995,0.96533,0.99937,1,0.995,0.95253,0.31257,0.39299,0.23907,0.82928,0.00120404,0.00120404,0.00120404
203,291.952,0.43005,0.61562,0.30318,0.93169,0.99927,1,0.995,0.96964,0.99927,1,0.995,0.95607,0.30307,0.3606,0.24476,0.83297,0.00120008,0.00120008,0.00120008
204,293.37,0.38915,0.56082,0.28336,0.92072,0.99938,1,0.995,0.95679,0.99938,1,0.995,0.96017,0.32177,0.35907,0.24877,0.85368,0.00119612,0.00119612,0.00119612
205,294.791,0.39969,0.5573,0.29888,0.93396,0.99934,1,0.995,0.9709,0.99934,1,0.995,0.96164,0.3048,0.36505,0.24161,0.83522,0.00119216,0.00119216,0.00119216
206,296.223,0.41273,0.62638,0.30114,0.94261,0.99937,1,0.995,0.97561,0.99937,1,0.995,0.96394,0.2981,0.37009,0.23529,0.82792,0.0011882,0.0011882,0.0011882
207,297.764,0.39311,0.60818,0.29692,0.92016,0.99937,1,0.995,0.97428,0.99937,1,0.995,0.96588,0.30197,0.36964,0.23528,0.83128,0.00118424,0.00118424,0.00118424
208,299.19,0.39808,0.6012,0.30111,0.92931,0.99943,1,0.995,0.96331,0.99943,1,0.995,0.95914,0.30752,0.39758,0.23571,0.83844,0.00118028,0.00118028,0.00118028
209,300.596,0.41395,0.63543,0.31267,0.92876,0.99939,1,0.995,0.96758,0.99939,1,0.995,0.96097,0.318,0.38651,0.24605,0.84368,0.00117632,0.00117632,0.00117632
210,302.036,0.39626,0.56396,0.29176,0.92134,0.99933,1,0.995,0.96666,0.99933,1,0.995,0.96129,0.30072,0.37435,0.24259,0.8307,0.00117236,0.00117236,0.00117236
211,303.443,0.41057,0.59197,0.31241,0.94034,0.99938,1,0.995,0.96059,0.99938,1,0.995,0.95431,0.3171,0.39681,0.23514,0.831,0.0011684,0.0011684,0.0011684
212,304.849,0.4324,0.64558,0.31351,0.95465,0.99921,1,0.995,0.95357,0.99921,1,0.995,0.9569,0.31434,0.37539,0.23681,0.8305,0.00116444,0.00116444,0.00116444
213,306.264,0.39045,0.59284,0.29987,0.91646,0.99908,1,0.995,0.96113,0.99908,1,0.995,0.95428,0.322,0.41235,0.24813,0.84072,0.00116048,0.00116048,0.00116048
214,307.699,0.39823,0.64034,0.31152,0.92347,0.99933,1,0.995,0.97039,0.99933,1,0.995,0.95957,0.32611,0.41807,0.23801,0.84726,0.00115652,0.00115652,0.00115652
215,309.185,0.39645,0.61048,0.28837,0.9183,0.99945,1,0.995,0.96603,0.99945,1,0.995,0.96583,0.32104,0.35894,0.23346,0.83764,0.00115256,0.00115256,0.00115256
216,310.598,0.3953,0.61835,0.30772,0.94373,0.99944,1,0.995,0.97096,0.99944,1,0.995,0.96188,0.29154,0.36459,0.23037,0.82353,0.0011486,0.0011486,0.0011486
217,312.014,0.40341,0.61962,0.29922,0.93769,0.99941,1,0.995,0.97302,0.99941,1,0.995,0.95689,0.30245,0.38922,0.23082,0.82462,0.00114464,0.00114464,0.00114464
218,313.419,0.44906,0.671,0.29902,0.94644,0.99939,1,0.995,0.9631,0.99939,1,0.995,0.95862,0.31869,0.38813,0.23601,0.83676,0.00114068,0.00114068,0.00114068
219,314.826,0.41437,0.65689,0.30532,0.92616,0.99938,1,0.995,0.96379,0.99938,1,0.995,0.96255,0.32307,0.36963,0.23153,0.84057,0.00113672,0.00113672,0.00113672
220,316.228,0.39988,0.52211,0.30167,0.95596,0.99936,1,0.995,0.96226,0.99936,1,0.995,0.96423,0.31634,0.35905,0.23197,0.83934,0.00113276,0.00113276,0.00113276
221,317.639,0.37161,0.54577,0.28204,0.90634,0.99937,1,0.995,0.98024,0.99937,1,0.995,0.96748,0.27762,0.36221,0.22256,0.81704,0.0011288,0.0011288,0.0011288
222,319.133,0.35438,0.58045,0.27578,0.90992,0.99932,1,0.995,0.97624,0.99932,1,0.995,0.96592,0.27287,0.3654,0.22689,0.81545,0.00112484,0.00112484,0.00112484
223,320.538,0.4194,0.64761,0.29552,0.94098,0.99932,1,0.995,0.9768,0.99932,1,0.995,0.97055,0.28918,0.36706,0.22728,0.82497,0.00112088,0.00112088,0.00112088
224,321.946,0.41109,0.62967,0.30699,0.94268,0.99945,1,0.995,0.97344,0.99945,1,0.995,0.97008,0.30373,0.38017,0.22688,0.82881,0.00111692,0.00111692,0.00111692
225,323.351,0.39381,0.57614,0.28665,0.93166,0.99944,1,0.995,0.97737,0.99944,1,0.995,0.9711,0.27441,0.36777,0.20797,0.8142,0.00111296,0.00111296,0.00111296
226,324.781,0.42558,0.64317,0.29765,0.92201,0.99946,1,0.995,0.97411,0.99946,1,0.995,0.96614,0.26739,0.3664,0.20671,0.80882,0.001109,0.001109,0.001109
227,326.185,0.38303,0.56219,0.28113,0.94119,0.99946,1,0.995,0.96417,0.99946,1,0.995,0.96419,0.298,0.36684,0.21843,0.83501,0.00110504,0.00110504,0.00110504
228,327.603,0.41613,0.63576,0.30077,0.93831,0.99945,1,0.995,0.95645,0.99945,1,0.995,0.95968,0.32504,0.37112,0.22921,0.84864,0.00110108,0.00110108,0.00110108
229,329.021,0.41274,0.5554,0.27985,0.92348,0.99942,1,0.995,0.96718,0.99942,1,0.995,0.95976,0.30343,0.36182,0.22261,0.82832,0.00109712,0.00109712,0.00109712
230,330.507,0.39681,0.61978,0.28799,0.90436,0.99942,1,0.995,0.96592,0.99942,1,0.995,0.95352,0.30211,0.375,0.23144,0.82887,0.00109316,0.00109316,0.00109316
231,331.919,0.42058,0.65709,0.31399,0.94253,0.99945,1,0.995,0.9631,0.99945,1,0.995,0.95163,0.32268,0.38499,0.2505,0.84373,0.0010892,0.0010892,0.0010892
232,333.336,0.40216,0.56541,0.2817,0.92886,0.99946,1,0.995,0.96699,0.99946,1,0.995,0.9528,0.30413,0.3894,0.23857,0.82842,0.00108524,0.00108524,0.00108524
233,334.742,0.39045,0.55242,0.2861,0.90936,0.99947,1,0.995,0.97255,0.99947,1,0.995,0.96625,0.28865,0.3539,0.22963,0.81368,0.00108128,0.00108128,0.00108128
234,336.148,0.38291,0.54504,0.26622,0.91753,0.99945,1,0.995,0.97381,0.99945,1,0.995,0.97156,0.278,0.34583,0.22276,0.81013,0.00107732,0.00107732,0.00107732
235,337.556,0.38214,0.58918,0.27979,0.94911,0.99945,1,0.995,0.97001,0.99945,1,0.995,0.96672,0.29268,0.34401,0.22314,0.83193,0.00107336,0.00107336,0.00107336
236,338.965,0.38382,0.55048,0.29264,0.92449,0.99943,1,0.995,0.96474,0.99943,1,0.995,0.95946,0.31907,0.34939,0.23074,0.85322,0.0010694,0.0010694,0.0010694
237,340.4,0.37455,0.52452,0.25651,0.93052,0.99944,1,0.995,0.96635,0.99944,1,0.995,0.96233,0.28819,0.36095,0.21918,0.82652,0.00106544,0.00106544,0.00106544
238,341.815,0.40508,0.57302,0.29812,0.93024,0.99944,1,0.995,0.97294,0.99944,1,0.995,0.96428,0.28044,0.36716,0.21707,0.81433,0.00106148,0.00106148,0.00106148
239,343.218,0.3942,0.56939,0.29528,0.9227,0.99943,1,0.995,0.9747,0.99943,1,0.995,0.96927,0.28518,0.34938,0.21936,0.8146,0.00105752,0.00105752,0.00105752
240,344.63,0.42677,0.63059,0.29459,0.95569,0.99934,1,0.995,0.97232,0.99934,1,0.995,0.96599,0.28443,0.35063,0.22593,0.81628,0.00105356,0.00105356,0.00105356
241,346.039,0.3972,0.58646,0.28116,0.92249,0.99942,1,0.995,0.97274,0.99942,1,0.995,0.96427,0.29156,0.35232,0.22868,0.82578,0.0010496,0.0010496,0.0010496
242,347.447,0.36766,0.56124,0.27442,0.9148,0.99947,1,0.995,0.97461,0.99947,1,0.995,0.97177,0.28339,0.33961,0.20913,0.81692,0.00104564,0.00104564,0.00104564
243,348.852,0.37534,0.56133,0.26712,0.92426,0.99948,1,0.995,0.97688,0.99948,1,0.995,0.97223,0.27901,0.33987,0.21844,0.81259,0.00104168,0.00104168,0.00104168
244,350.354,0.38917,0.53781,0.2673,0.91872,0.99948,1,0.995,0.96666,0.99948,1,0.995,0.96789,0.29597,0.34536,0.22806,0.8262,0.00103772,0.00103772,0.00103772
245,351.782,0.3777,0.52155,0.26462,0.91155,0.99944,1,0.995,0.96967,0.99944,1,0.995,0.96788,0.31046,0.34568,0.23768,0.84106,0.00103376,0.00103376,0.00103376
246,353.194,0.38422,0.57788,0.29796,0.92673,0.99931,1,0.995,0.96624,0.99931,1,0.995,0.96351,0.32017,0.37053,0.23266,0.85273,0.0010298,0.0010298,0.0010298
247,354.608,0.38228,0.62342,0.28375,0.92154,0.9992,1,0.995,0.96081,0.9992,1,0.995,0.94636,0.34613,0.46028,0.24073,0.86641,0.00102584,0.00102584,0.00102584
248,356.02,0.44023,0.61157,0.28843,0.96646,0.99935,1,0.995,0.97262,0.99935,1,0.995,0.95077,0.31371,0.4086,0.23259,0.84641,0.00102188,0.00102188,0.00102188
249,357.432,0.38202,0.58037,0.27467,0.89339,0.99945,1,0.995,0.97661,0.99945,1,0.995,0.96691,0.28605,0.34734,0.22054,0.82971,0.00101792,0.00101792,0.00101792
250,358.84,0.38557,0.52546,0.27224,0.90637,0.99944,1,0.995,0.97497,0.99944,1,0.995,0.96634,0.28815,0.35554,0.23441,0.82357,0.00101396,0.00101396,0.00101396
251,360.251,0.36343,0.53921,0.2579,0.92437,0.99934,1,0.995,0.9756,0.99934,1,0.995,0.96459,0.2878,0.35984,0.26259,0.82256,0.00101,0.00101,0.00101
252,361.711,0.37325,0.51774,0.27649,0.91651,0.99928,1,0.995,0.97825,0.99928,1,0.995,0.96351,0.27152,0.36311,0.28285,0.81179,0.00100604,0.00100604,0.00100604
253,363.122,0.33391,0.52522,0.24957,0.90009,0.99907,1,0.995,0.97375,0.99907,1,0.995,0.95854,0.28078,0.37493,0.27354,0.81613,0.00100208,0.00100208,0.00100208
254,364.529,0.36884,0.54835,0.26102,0.91568,0.99917,1,0.995,0.97965,0.99917,1,0.995,0.96358,0.28633,0.37133,0.24067,0.81955,0.00099812,0.00099812,0.00099812
255,365.949,0.37297,0.51891,0.24878,0.91037,0.99944,1,0.995,0.97703,0.99944,1,0.995,0.96846,0.27627,0.34277,0.21297,0.81158,0.00099416,0.00099416,0.00099416
256,367.361,0.38341,0.52891,0.28157,0.92729,0.99944,1,0.995,0.98008,0.99944,1,0.995,0.97378,0.26892,0.34686,0.20985,0.80458,0.0009902,0.0009902,0.0009902
257,368.792,0.36699,0.53032,0.2825,0.89568,0.99943,1,0.995,0.97557,0.99943,1,0.995,0.96023,0.26392,0.36352,0.20757,0.80217,0.00098624,0.00098624,0.00098624
258,370.201,0.37345,0.5495,0.28766,0.91343,0.99943,1,0.995,0.97589,0.99943,1,0.995,0.95513,0.27515,0.39224,0.21053,0.80704,0.00098228,0.00098228,0.00098228
259,371.704,0.3856,0.57443,0.26344,0.91369,0.99944,1,0.995,0.97777,0.99944,1,0.995,0.96163,0.2749,0.39981,0.21161,0.80782,0.00097832,0.00097832,0.00097832
260,373.162,0.36338,0.50795,0.26869,0.91155,0.99957,1,0.995,0.97566,0.99957,1,0.995,0.97329,0.28302,0.35037,0.21411,0.81535,0.00097436,0.00097436,0.00097436
